|            JD |           Tempo |              BC |            432s |             430 |             423 |             405 |
| 2451732.90573 |   26744.8044631 |   26744.8044282 |   26744.8043768 |   26744.8043782 |   26744.8043657 |   26744.8044392 |
| 2451733.82637 |   26899.3563431 |   26899.3560614 |   26899.3560155 |   26899.3560169 |   26899.3560042 |   26899.3560776 |
| 2451734.74701 |   26977.1382218 |   26977.1380533 |   26977.1380193 |   26977.1380207 |   26977.1380077 |   26977.1380811 |
| 2451735.66765 |   26961.4322898 |   26961.4321247 |   26961.4321041 |   26961.4321053 |   26961.4320921 |   26961.4321654 |
| 2451736.58829 |   26855.4531287 |   26855.4530672 |    26855.453055 |   26855.4530562 |   26855.4530427 |   26855.4531159 |
| 2451737.50893 |   26681.6343849 |   26681.6341471 |    26681.634128 |   26681.6341292 |   26681.6341155 |   26681.6341888 |
| 2451738.42957 |   26476.5164001 |   26476.5159985 |   26476.5159677 |   26476.5159687 |   26476.5159547 |    26476.516028 |
| 2451739.35021 |   26282.4080865 |   26282.4073669 |   26282.4073474 |   26282.4073484 |   26282.4073342 |   26282.4074073 |
| 2451740.27085 |   26137.7249126 |    26137.724356 |   26137.7243387 |   26137.7243396 |   26137.7243252 |   26137.7243983 |
| 2451741.19149 |   26068.2172997 |   26068.2167869 |    26068.216759 |   26068.2167598 |   26068.2167453 |   26068.2168184 |
| 2451742.11213 |   26081.0884512 |   26081.0876676 |   26081.0876246 |   26081.0876254 |   26081.0876106 |   26081.0876837 |
| 2451743.03277 |   26163.3507612 |   26163.3502217 |   26163.3501678 |   26163.3501685 |   26163.3501535 |   26163.3502267 |
| 2451743.95342 |   26284.7987994 |   26284.7981438 |   26284.7980866 |   26284.7980872 |   26284.7980719 |   26284.7981453 |
| 2451744.87406 |   26404.9104679 |   26404.9101047 |   26404.9100509 |   26404.9100515 |    26404.910036 |   26404.9101094 |
|  2451745.7947 |   26482.1101197 |   26482.1100236 |   26482.1099793 |   26482.1099798 |   26482.1099641 |   26482.1100377 |
| 2451746.71534 |   26483.2665001 |   26483.2660545 |   26483.2660237 |   26483.2660241 |   26483.2660082 |   26483.2660821 |
| 2451747.63598 |   26391.2566722 |    26391.256527 |   26391.2565085 |   26391.2565089 |   26391.2564928 |   26391.2565669 |
| 2451748.55662 |   26208.8732116 |   26208.8730307 |    26208.873016 |   26208.8730162 |   26208.8729999 |   26208.8730742 |
| 2451749.47726 |   25958.1688397 |    25958.168248 |   25958.1682215 |   25958.1682216 |   25958.1682051 |   25958.1682796 |
|  2451750.3979 |   25675.3979739 |   25675.3977648 |   25675.3977359 |    25675.397736 |   25675.3977193 |    25675.397794 |
| 2451751.31854 |   25402.7132476 |   25402.7129447 |   25402.7129275 |   25402.7129275 |   25402.7129106 |   25402.7129854 |
| 2451752.23918 |    25178.506017 |   25178.5054144 |   25178.5053971 |   25178.5053971 |     25178.50538 |    25178.505455 |
| 2451753.15982 |   25028.6136853 |   25028.6129592 |   25028.6129307 |   25028.6129304 |   25028.6129132 |   25028.6129883 |
| 2451754.08046 |   24960.4011728 |   24960.4001249 |   24960.4000811 |   24960.4000808 |   24960.4000635 |   24960.4001386 |
|  2451755.0011 |   24961.0694612 |   24961.0690201 |    24961.068964 |   24961.0689637 |   24961.0689461 |   24961.0690212 |
| 2451755.92175 |   25000.5871137 |    25000.586701 |   25000.5866423 |   25000.5866419 |   25000.5866242 |   25000.5866992 |
| 2451756.84239 |    25038.557933 |   25038.5577673 |   25038.5577165 |   25038.5577161 |   25038.5576982 |   25038.5577729 |
| 2451757.76303 |   25033.4682276 |   25033.4679557 |   25033.4679166 |    25033.467916 |   25033.4678981 |   25033.4679724 |
| 2451758.68367 |     24952.18465 |   24952.1842852 |   24952.1842585 |   24952.1842579 |   24952.1842397 |   24952.1843137 |
| 2451759.60431 |   24777.5415249 |   24777.5415957 |   24777.5415764 |   24777.5415758 |   24777.5415575 |   24777.5416309 |
| 2451760.52495 |   24512.2845255 |   24512.2841493 |   24512.2841276 |   24512.2841268 |   24512.2841085 |   24512.2841813 |
| 2451761.44559 |    24178.463468 |   24178.4628695 |   24178.4628252 |   24178.4628244 |   24178.4628059 |   24178.4628782 |
| 2451762.36623 |    23812.425322 |   23812.4248469 |   23812.4248105 |   23812.4248096 |    23812.424791 |   23812.4248626 |
| 2451763.28687 |   23456.5385653 |   23456.5376787 |    23456.537662 |    23456.537661 |   23456.5376422 |   23456.5377132 |
| 2451764.20751 |   23149.5377625 |   23149.5370329 |   23149.5370196 |   23149.5370185 |   23149.5369997 |     23149.53707 |
| 2451765.12815 |   22917.7024957 |   22917.7018741 |   22917.7018506 |   22917.7018496 |   22917.7018307 |   22917.7019004 |
| 2451766.04879 |   22768.8744422 |   22768.8735548 |   22768.8735182 |   22768.8735171 |   22768.8734979 |   22768.8735672 |
| 2451766.96943 |   22690.6865875 |    22690.685896 |   22690.6858507 |   22690.6858495 |   22690.6858303 |   22690.6858989 |
| 2451767.89008 |   22653.4120542 |   22653.4111459 |   22653.4111005 |   22653.4110993 |     22653.41108 |   22653.4111481 |
| 2451768.81072 |   22616.7721934 |   22616.7717104 |   22616.7716724 |   22616.7716711 |   22616.7716516 |   22616.7717191 |
| 2451769.73136 |   22539.1610585 |   22539.1608565 |   22539.1608284 |    22539.160827 |   22539.1608075 |   22539.1608746 |
|   2451770.652 |   22387.1653739 |   22387.1648342 |   22387.1648159 |   22387.1648146 |    22387.164795 |   22387.1648615 |
| 2451771.57264 |   22143.2101666 |   22143.2098092 |   22143.2097949 |   22143.2097934 |   22143.2097738 |   22143.2098399 |
